date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2006-02-15,Tabora,Tabora Urban,Tabora,96,-5.02,32.8,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,61318.18,51.75
2006-02-15,Tabora,Tabora Urban,Tabora,96,-5.02,32.8,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,65318.18,55.12
2006-02-15,Tanga,Tanga,Tanga / Mgandini,97,-5.07,39.1,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,30727.27,25.93
2006-02-15,Tanga,Tanga,Tanga / Mgandini,97,-5.07,39.1,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,69454.55,58.61
2006-02-15,Tanga,Tanga,Tanga / Mgandini,97,-5.07,39.1,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,68363.64,57.69
2006-03-15,Arusha,Arusha Urban,Arusha (urban),80,-3.37,36.68,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,31000,26.16
2006-03-15,Arusha,Arusha Urban,Arusha (urban),80,-3.37,36.68,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,81961.54,69.17
2006-03-15,Arusha,Arusha Urban,Arusha (urban),80,-3.37,36.68,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,46875,39.56
2006-03-15,Dar-es-salaam,Ilala,Dar Es Salaam,83,-6.8,39.28,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,29375,24.79
2006-03-15,Dar-es-salaam,Ilala,Dar Es Salaam,83,-6.8,39.28,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,82115.38,69.3
2006-03-15,Dodoma,Mpwapwa,Dodoma (Majengo),84,-7.29,36.34,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,32375,27.32
2006-03-15,Dodoma,Mpwapwa,Dodoma (Majengo),84,-7.29,36.34,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,74653.85,63
2006-03-15,Dodoma,Mpwapwa,Dodoma (Majengo),84,-7.29,36.34,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,50020.83,42.21
2006-03-15,Iringa,Iringa Urban,Iringa Urban,85,-7.77,35.7,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,33958.33,28.66
2006-03-15,Iringa,Iringa Urban,Iringa Urban,85,-7.77,35.7,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,75312.5,63.55
2006-03-15,Iringa,Iringa Urban,Iringa Urban,85,-7.77,35.7,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,76083.33,64.21
2006-03-15,Kagera,Bukoba Urban,Bukoba,82,-1.33,31.81,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,31545.83,26.62
2006-03-15,Kagera,Bukoba Urban,Bukoba,82,-1.33,31.81,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,75257.14,63.51
2006-03-15,Kagera,Bukoba Urban,Bukoba,82,-1.33,31.81,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,30687.5,25.9
2006-03-15,Kigoma,Kigoma Municipal-Ujiji,Kigoma,86,-4.88,29.63,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,39679.17,33.48
2006-03-15,Kigoma,Kigoma Municipal-Ujiji,Kigoma,86,-4.88,29.63,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,81035.71,68.38
2006-03-15,Kigoma,Kigoma Municipal-Ujiji,Kigoma,86,-4.88,29.63,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,60681.82,51.21
2006-03-15,Kilimanjaro,Moshi Municipal,Moshi,90,-3.35,37.33,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,29125,24.58
2006-03-15,Kilimanjaro,Moshi Municipal,Moshi,90,-3.35,37.33,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,73958.33,62.41
2006-03-15,Kilimanjaro,Moshi Municipal,Moshi,90,-3.35,37.33,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,84333.33,71.17
2006-03-15,Lindi,Lindi Urban,Lindi,87,-10,39.72,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,36375,30.7
2006-03-15,Lindi,Lindi Urban,Lindi,87,-10,39.72,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,80076.92,67.58
2006-03-15,Lindi,Lindi Urban,Lindi,87,-10,39.72,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,78428.57,66.18
2006-03-15,Manyara,Babati Urban,Babati,81,-4.22,35.75,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,23541.67,19.87
2006-03-15,Manyara,Babati Urban,Babati,81,-4.22,35.75,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,80000,67.51
2006-03-15,Manyara,Babati Urban,Babati,81,-4.22,35.75,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,43066.67,36.34
2006-03-15,Mara,Musoma Municipal,Musoma,99,-1.5,33.8,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,33058.33,27.9
2006-03-15,Mara,Musoma Municipal,Musoma,99,-1.5,33.8,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,75964.29,64.1
2006-03-15,Mara,Musoma Municipal,Musoma,99,-1.5,33.8,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,69375,58.54
2006-03-15,Mbeya,Mbeya Urban,Mwanjelwa,88,-8.9,33.45,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,28886.36,24.38
2006-03-15,Mbeya,Mbeya Urban,Mwanjelwa,88,-8.9,33.45,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,67884.62,57.29
2006-03-15,Mbeya,Mbeya Urban,Mwanjelwa,88,-8.9,33.45,pulses and nuts,Beans,50,100 KG,actual,Wholesale,TZS,50454.55,42.58
2006-03-15,Morogoro,Morogoro Urban,Morogoro,89,-6.82,37.67,cereals and tubers,Maize,51,100 KG,actual,Wholesale,TZS,40208.33,33.93
2006-03-15,Morogoro,Morogoro Urban,Morogoro,89,-6.82,37.67,cereals and tubers,Rice,52,100 KG,actual,Wholesale,TZS,80071.43,67.57
